id,address,enabled,date_added,date_modified,comment,date_updated,number,invalid_domains,status
51,https://blocklist.site/app/dl/crypto,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1645955849,23789,0,3
52,https://blocklist.site/app/dl/drugs,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1644746413,26588,0,3
53,https://blocklist.site/app/dl/fraud,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1651395275,196088,0,3
54,https://blocklist.site/app/dl/porn,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1652000073,500206,0,3
55,https://blocklist.site/app/dl/scam,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1645955856,1265,0,3
56,https://blocklist.site/app/dl/spam,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list","",0,0,4
57,https://blocklist.site/app/dl/tracking,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1651395278,15050,0,3
58,https://blocklist.site/app/dl/torrent,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1636522388,2622,0,3
59,https://blocklist.site/app/dl/redirect,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1651395279,108674,0,3
60,https://blocklist.site/app/dl/proxy,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list","",0,0,4
61,https://blocklist.site/app/dl/ransomware,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1636522390,1904,0,3
62,https://blocklist.site/app/dl/malware,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1651395281,435311,0,3
63,https://blocklist.site/app/dl/phishing,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1651395283,190241,0,3
64,https://dbl.oisd.nl/,1,1593008041,1593008041,"Migrated from /etc/pihole/adlists.list",1655024505,1002379,0,1
65,https://raw.githubusercontent.com/PolishFiltersTeam/KADhosts/master/KADhosts.txt,1,1629748433,1629748433,"",1655024506,50852,0,1
66,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Spam/hosts,1,1629748449,1629748449,"",1641117713,57,0,2
68,https://raw.githubusercontent.com/matomo-org/referrer-spam-blacklist/master/spammers.txt,1,1629748466,1629748466,"",1653814649,2108,0,2
69,https://someonewhocares.org/hosts/zero/hosts,1,1629748477,1629748477,"",1654419280,10375,0,2
70,https://raw.githubusercontent.com/VeleSila/yhosts/master/hosts,1,1629748487,1629748487,"",1650185884,6420,0,2
71,https://winhelp2002.mvps.org/hosts.txt,1,1629748495,1629748495,"",1636522407,8730,0,2
72,https://v.firebog.net/hosts/neohostsbasic.txt,1,1629748506,1629748506,"",1636522408,2411,0,2
73,https://raw.githubusercontent.com/RooneyMcNibNug/pihole-stuff/master/SNAFU.txt,1,1629748515,1629748515,"",1655024508,48074,0,1
74,https://paulgb.github.io/BarbBlock/blacklists/hosts-file.txt,1,1629748534,1629748534,"",1636522409,550,0,2
75,https://raw.githubusercontent.com/jdlingyu/ad-wars/master/hosts,1,1629748544,1629748544,"",1651395289,1665,0,2
76,https://raw.githubusercontent.com/bigdargon/hostsVN/master/hosts,1,1629748553,1629748553,"",1655024509,17027,0,1
77,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/UncheckyAds/hosts,1,1629748561,1629748561,"",1636522411,9,0,2
78,https://pgl.yoyo.org/adservers/serverlist.php?hostformat=hosts&showintro=0&mimetype=plaintext,1,1629748569,1629748569,"",1655024510,3644,0,1
83,https://urlhaus.abuse.ch/downloads/hostfile/,1,1629748618,1629748618,"",1655024511,1133,0,1
84,https://zerodot1.gitlab.io/CoinBlockerLists/hosts_browser,1,1629748627,1629748627,"",1636522413,3496,0,2
85,https://raw.githubusercontent.com/chadmayfield/my-pihole-blocklists/master/lists/pi_blocklist_porn_all.list,1,1629748635,1629748635,"",1636522423,1906594,0,2
86,https://raw.githubusercontent.com/chadmayfield/my-pihole-blocklists/master/lists/pi_blocklist_porn_top1m.list,1,1629748644,1629748644,"",1636522424,11868,0,2
87,https://raw.githubusercontent.com/anudeepND/blacklist/master/facebook.txt,1,1629748652,1629748652,"",1636522425,3996,0,2
89,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.2o7Net/hosts,1,1629748677,1629748677,"",1636522426,1286,0,2
93,https://www.github.developerdan.com/hosts/lists/ads-and-tracking-extended.txt,1,1629748742,1629748742,"",1655024518,421302,0,1
94,https://www.github.developerdan.com/hosts/lists/hate-and-junk-extended.txt,1,1629748757,1629748757,"",1655024518,1698,0,1
95,https://www.github.developerdan.com/hosts/lists/tracking-aggressive-extended.txt,1,1629748782,1629748782,"",1655024519,134263,0,1
96,https://block.energized.pro/unified/formats/domains.txt,1,1645029071,1645029071,"",1655024524,695968,0,1
